id,videoID,title,description,publishedAt,thumbnail,duration,tags,views,likes,dislikes,comments,sport,teams,players,umpires,topic,gamedate
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4xMTE0RDU2NTlEMTkxNzZB,8jCCZApxz6U,"Gleyber Torres hits the walk off and the Yankees celebrate, a breakdown","LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-26T21:37:35Z,https://i.ytimg.com/vi/8jCCZApxz6U/maxresdefault.jpg,PT1M52S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'yankees', 'blue jats', 'blue jays', 'walk off']",101736,2699,38,229,,Yankees|Blue Jays,Gleyber Torres,,Walk-Off,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4zNDY1MzYwMjYwQUE2QTlD,TMskgEVFKWs,"Miguel Rojas and Don Mattingly get ejected, a breakdown","Use the discount code BREAKDOWN at https://affordablejerseys.com/ to get 10% off a licensed majestic athletic jersey

LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-26T20:21:46Z,https://i.ytimg.com/vi/TMskgEVFKWs/maxresdefault.jpg,PT2M22S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'marlins', 'nationals', 'rojas', 'mattingly']",376406,5361,122,412,,Marlins|Nationals,Don Mattingly|Miguel Rojas,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC5EMzgyRkY2QzI3NjdDMDM4,g3U9Ur_eClo,"DJ LeMahieu hits a home run and leaves his teammates speechless, a breakdown","LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-26T19:34:42Z,https://i.ytimg.com/vi/g3U9Ur_eClo/maxresdefault.jpg,PT1M31S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'dj lemahieu', 'yankees']",230961,4394,90,315,,Yankees,DJ LeMahieu,,Home Run,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4yNkZBOTQyMkYxQkQyMzc2,WEhPFr56VPs,"Jason Kipnis hits a walk off homer vs the Royals and the Indians celebrate, a breakdown","LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-26T03:48:08Z,https://i.ytimg.com/vi/WEhPFr56VPs/maxresdefault.jpg,PT2M,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",149358,3705,34,339,,Indians|Royals,Jason Kipnis,,Home Run|Walk-Off,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC43OTNDNTk0OUNGMDA1MUNG,5lWuoOpc6vM,"The Cubs Run into two outs on one play, a breakdown","LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-26T03:24:38Z,https://i.ytimg.com/vi/5lWuoOpc6vM/maxresdefault.jpg,PT1M24S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio']",242693,4130,72,309,,Cubs,,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC41ODI2RjhGOTVBODI2NDE5,f7iok65DHS0,"Gabe Kapler Gets Ejected by Joe West, a breakdown","LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-26T03:05:49Z,https://i.ytimg.com/vi/f7iok65DHS0/maxresdefault.jpg,PT1M53S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'phillies', 'mets', 'kapler', 'joe west', 'ejection']",900011,12664,260,1413,,Mets|Phillies,Gabe Kapler,,Ejection,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC45MTRCQjE3QzVGNDREODIz,Bslkl3b8w9g,"Cubs bullpen catcher gets locked out of the bullpen, a breakdown","Use the discount code BREAKDOWN at https://affordablejerseys.com/ to get 10% off a licensed majestic athletic jersey


LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link (this one was suggested there, so thank you to whoever write it in!)

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-25T15:13:46Z,https://i.ytimg.com/vi/Bslkl3b8w9g/maxresdefault.jpg,PT1M32S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'cubs', 'bullpen catcher']",718563,11720,223,600,,Cubs,,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC5FRkU3NjdFNDBDMjFBNTlF,-3haxTe8D7E,"Willson Contreras and Tyler Flowers exchange pleasantries, a breakdown","Use the discount code BREAKDOWN at https://affordablejerseys.com/ to get 10% off a licensed majestic athletic jersey


LEAVE BREAKDOWN SUGGESTIONS HERE: https://docs.google.com/forms/d/e/1FAIpQLSc2WCOoo9n-J0ke0S4ZN7r4yZK2jVqFJq-AlEMWX4nnZVn0-g/viewform?usp=sf_link

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-25T01:51:41Z,https://i.ytimg.com/vi/-3haxTe8D7E/maxresdefault.jpg,PT1M46S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'cubs', 'braves', 'contreras', 'flower', 'flowers']",502841,7728,165,995,,Braves|Cubs,Tyler Flowers|Willson Contreras,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC41MjQxRDc5RTVGQjEzRUFB,zV-ScYTdyF4,Pirates Comeback to beat The Padres in Extras | Jakes Burn of the Day,"Edited by @zmanespo

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-11-17T00:37:43Z,https://i.ytimg.com/vi/zV-ScYTdyF4/maxresdefault.jpg,PT1M32S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'pirates', 'padres', 'extras']",42570,933,2023,535,,Pirates|Padres,,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4xRUU4M0JFMUQ4QTA2MjVB,7QAjfL1b58Q,"Christian Yelich hits a ball through the fence for a ground rule double, a breakdown","LEAVE BREAKDOWN SUGGESTIONS in the comments, make sure to include the game date and inning (I'm saving past season breakdowns for the postseason)

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-24T19:37:04Z,https://i.ytimg.com/vi/7QAjfL1b58Q/maxresdefault.jpg,PT1M4S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'yelich', 'brewers', 'san fracisco giants', 'ground rule double', 'fence']",528207,7225,93,290,,Brewers|Giants,Christian Yelich,,,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC5FQTVEQjA2M0RBRkE2NUFD,#NAME?,"Matt Chapman caps off the As 9th in rally with a walk off homer vs the Rays, a breakdown","LEAVE BREAKDOWN SUGGESTIONS in the comments, make sure to include the game date and inning (I'm saving past season breakdowns for the postseason)

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-11-17T00:37:43Z,https://i.ytimg.com/vi/-SoxX67OGr8/sddefault.jpg,PT2M16S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', ""oakland a's"", 'athletics', 'rays', 'walk of', 'walk off', 'matt chapman']",156701,3085,34,264,,Rays|A's,Matt Chapman,,Home Run|Walk-Off,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC5FRkIzNkJFQkQ3RkUwOUY5,tOYk6t9wG5c,"Louisville pitcher, Luke Smith screams at Vanderbilt then Louisville loses, a breakdown","LEAVE BREAKDOWN SUGGESTIONS in the comments, make sure to include the game date and inning (I'm saving past season breakdowns for the postseason)

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-23T21:02:22Z,https://i.ytimg.com/vi/tOYk6t9wG5c/sddefault.jpg,PT2M21S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'luke smith', 'louisville', 'vanderbil', 'vanderbily', 'vanderbilt', 'college world series']",3122473,32755,743,3597,,,,,World Series,
UExDdnFLbHRZVWctSk1jWkFMeVIzdU16YWFpZWRxM2MtdC4yQjdDRUQyQ0M0MEZCQkEx,oEdkZEtMN6A,"Yankees Old Timers Day, A Breakdown","LEAVE BREAKDOWN SUGGESTIONS in the comments, make sure to include the game date and inning (I'm saving past season breakdowns for the postseason)

Support on patreon: https://www.patreon.com/jomboymedia


• Extra videos
• Requests
• Live Access to new show
• Jersey giveaway

FB: https://www.facebook.com/JomboyMedia/
TW: http://www.twitter.com/jomboymedia
IG: http://www.instagram.com/JomboyMedia

Personal: @Jomboy_  on TW & IG",2019-06-23T18:38:06Z,https://i.ytimg.com/vi/oEdkZEtMN6A/maxresdefault.jpg,PT2M11S,"['a breakdown', 'mlb', 'jomboy videos', 'jomboy', 'jake sucks', 'talkin yanks', 'jomboy podcast', 'tv podcast', 'just talkin podcast', 'mlb breakdowns', 'Talkin yanks', 'jomboy jake radio', 'old timers day', 'breakdown']",313989,6647,80,388,,Yankees,,,,
